5.248,1
5.567,20
5.794,0
6.13,2
6.445,1
6.768,0
7.096,1
7.373,0
7.703,1
8.028,20
8.285,0
8.62,2
8.871,1
9.201,0
9.532,1
9.834,0
10.15,1
10.45,20
10.714,0
11,23
11.309,0
11.661,22
11.953,2
12.2,1
12.517,0
12.849,23
13.142,3
13.426,1
13.704,2
14.044,23
14.285,3
14.576,2
14.852,1
15.2,20
15.467,0
15.8,1
16.084,1
16.398,0
16.699,1
17.02,0
17.297,1
17.654,20
17.924,0
18.274,1
18.511,1
18.841,0
19.13,1
19.432,0
19.72,1
20.016,20
20.278,0
20.573,1
20.842,2
21.144,3
21.414,2
21.716,3
22.026,0
22.331,1
22.587,20
22.864,1
23.186,2
23.5,3
23.813,22
24.092,2
24.435,0
24.783,1
25.162,0
25.642,1
26.247,1
26.649,20
26.919,0
27.246,1
27.594,1
27.908,0
28.212,1
28.550,0
28.850,1
29.154,20
29.430,0
29.729,3
30.000,1
30.309,0
30.632,1
30.929,0
31.228,1
31.536,20
31.800,0
32.069,1
32.376,0
32.724,23
33.057,3
33.310,1
33.599,2
33.956,23
34.245,3
34.500,2
34.800,1
35.109,20
35.380,0
35.614,1
35.945,3
36.239,20
36.531,0
36.800,2
37.053,1
37.394,20
37.653,0
37.940,1
38.253,2
38.532,3
38.832,1
39.157,0
39.422,1
39.700,3
40.000,2
40.292,1
40.606,2
40.919,0
41.282,1
