01.128,531
01.652,830
02.138,430
02.668,530
03.073,430
03.527,531
04.128,460
04.992,431
05.501,730
05.907,530
06.434,430
06.977,530
07.527,431
07.916,560
08.891,531
09.371,730
09.807,430
10.223,531
10.778,431
11.296,030
11.785,430
12.333,531
12.861,431
13.358,030
13.809,431
14.271,431
14.749,531
14.910,461
15.786,0
16.821,
17.376,
17.854,
18.383,
18.899,
19.374,
19.927,
20.387,
20.900,
21.390,
21.823,
22.296,
22.775,
23.336,
23.848,
24.364,
24.921,
25.355,
25.869,
26.389,
26.887,
27.365,
27.851,
28.289,
28.831,
29.366,
29.879,
30.365,
30.880,
31.386,
31.836,
32.374,
32.867,
33.322,
33.800,
34.255,
34.749,
35.358,
36.751,
37.301,
37.803,
38.324,
38.819,
39.330,
39.800,
40.339,
40.772,
41.280,
41.854,
42.317,
42.822,
43.299,
43.748,
44.708,
45.260,
45.755,
46.220,
46.790,
47.216,
47.799,
48.279,
48.878,
49.410,
49.914,
50.396,
50.886,
51.902,
